ID,sex,age,worktime,edu,marriage,RL,WM,WD,HL,HW,OC
403,2,26,6,4,4,-0.083618234,1.058119658,0.408499525,0.256695157,0.777492877,0.621842355
404,2,26,5,4,4,0.416381766,1.058119658,0.35294397,0.59002849,0.777492877,0.510731244
405,2,46,15,4,4,-3.416951567,-2.608547009,-3.730389364,-3.243304843,-3.722507123,-3.155935423
406,2,35,9,3,4,0.166381766,0.058119658,0.450166192,0.09002849,0.610826211,0.844064577
407,1,30,4,3,4,0.7497151,1.058119658,0.950166192,0.923361823,0.777492877,0.732953466
408,1,31,5,3,4,0.916381766,0.391452991,0.672388414,1.256695157,0.277492877,0.732953466
409,1,34,8,2,4,0.4997151,0.724786325,0.339055081,0.423361823,1.110826211,-0.044824311
410,1,26,3,3,4,0.7497151,0.724786325,0.547388414,0.923361823,0.610826211,0.844064577
411,1,30,6,3,4,0.2497151,1.058119658,0.505721747,0.59002849,0.610826211,0.732953466
412,2,32,7,3,4,0.7497151,1.058119658,0.741832858,0.256695157,1.110826211,0.844064577
413,1,24,1,3,3,-0.083618234,1.058119658,0.366832858,0.09002849,0.777492877,0.844064577
414,2,35,7,4,4,0.7497151,0.724786325,0.769610636,1.09002849,0.610826211,0.510731244
415,2,33,4,4,4,0.916381766,0.391452991,1.075166192,1.423361823,1.110826211,1.177397911
416,2,36,8,4,4,0.916381766,0.058119658,0.964055081,0.756695157,0.944159544,0.621842355
417,2,33,3,3,4,0.9997151,1.058119658,0.991832858,0.256695157,1.110826211,1.177397911
418,2,32,3,3,4,0.916381766,1.058119658,0.825166192,0.256695157,0.944159544,0.621842355
419,2,31,3,3,4,0.916381766,1.058119658,0.825166192,0.256695157,1.110826211,0.955175689
420,2,33,5,4,4,0.583048433,1.058119658,1.005721747,1.09002849,1.277492877,0.955175689
421,2,32,6,4,4,1.166381766,1.391452991,0.797388414,1.256695157,1.110826211,1.0662868
422,2,29,3,3,4,0.833048433,1.058119658,0.936277303,0.256695157,0.944159544,1.0662868
423,2,32,4,3,4,0.4997151,0.058119658,0.658499525,0.09002849,0.110826211,0.288509022
424,2,29,3,3,4,0.7497151,1.058119658,0.964055081,0.256695157,0.944159544,0.510731244
425,2,26,3,3,4,0.333048433,0.058119658,0.491832858,-0.243304843,0.110826211,0.0662868
426,2,30,4,3,4,0.916381766,0.724786325,0.991832858,0.256695157,0.944159544,0.955175689
427,2,29,5,3,4,0.083048433,-0.275213675,0.116832858,0.423361823,0.444159544,0.177397911
428,2,30,5,3,4,0.7497151,0.391452991,0.630721747,0.923361823,1.110826211,0.399620133
429,2,36,8,3,4,0.166381766,0.058119658,0.366832858,0.423361823,0.277492877,0.510731244
430,2,32,5,3,2,0.166381766,1.391452991,0.658499525,0.923361823,0.944159544,0.955175689
431,1,29,3,3,3,1.083048433,0.391452991,1.186277303,1.09002849,1.277492877,0.844064577
432,2,30,6,3,4,-0.0002849,0.058119658,0.130721747,0.09002849,0.277492877,-0.155935423
433,2,32,6,3,4,0.666381766,0.391452991,0.700166192,0.756695157,0.944159544,1.0662868
434,2,26,3,4,4,0.2497151,0.391452991,-0.091500475,0.756695157,0.610826211,-0.267046534
435,2,20,1,2,1,0.333048433,1.058119658,0.47794397,0.423361823,0.944159544,0.288509022
436,1,51,3,2,4,0.083048433,-0.275213675,0.10294397,-1.243304843,-0.889173789,0.0662868
437,2,28,4,3,3,0.666381766,1.058119658,0.922388414,0.923361823,1.110826211,0.621842355
438,2,30,3,4,4,-0.583618234,-0.608547009,-1.008167142,-1.40997151,-1.889173789,-1.044824311
439,1,31,7,3,4,0.166381766,-0.275213675,0.311277303,0.09002849,0.110826211,0.0662868
440,1,34,8,3,4,0.2497151,0.391452991,0.116832858,0.59002849,0.444159544,0.177397911
441,1,30,6,3,4,0.083048433,-0.275213675,0.339055081,0.09002849,0.110826211,0.399620133
442,2,35,9,3,4,0.7497151,0.391452991,0.72794397,0.923361823,0.944159544,0.621842355
443,1,32,6,3,4,0.7497151,0.724786325,0.672388414,0.923361823,0.777492877,0.844064577
444,2,31,6,4,4,0.416381766,0.724786325,0.547388414,0.256695157,0.777492877,0.621842355
445,2,31,8,4,4,0.583048433,0.724786325,0.436277303,0.256695157,0.777492877,0.177397911
446,1,28,2,3,4,-0.2502849,0.724786325,0.172388414,-0.576638177,-0.222507123,0.177397911
447,2,25,2,3,2,-0.5002849,0.391452991,-0.424833808,-0.076638177,-0.055840456,0.0662868
448,1,28,5,3,4,0.416381766,0.391452991,-0.355389364,0.59002849,0.444159544,0.399620133
449,1,42,3,3,4,0.416381766,0.391452991,0.158499525,0.59002849,0.777492877,0.732953466
450,2,32,9,3,4,0.7497151,1.058119658,0.714055081,0.756695157,0.777492877,0.955175689
451,2,36,8,3,4,0.166381766,-0.275213675,0.283499525,-1.576638177,-0.389173789,0.288509022
452,2,30,6,3,4,0.083048433,0.058119658,0.158499525,0.09002849,0.777492877,0.288509022
453,2,37,8,3,4,0.333048433,0.391452991,0.85294397,0.923361823,0.610826211,0.510731244
454,2,42,16,3,4,0.583048433,1.058119658,0.950166192,0.756695157,0.610826211,1.0662868
455,2,31,6,3,4,0.083048433,0.058119658,0.075166192,0.256695157,0.777492877,0.510731244
456,1,31,7,3,4,0.333048433,-0.608547009,0.241832858,0.09002849,0.444159544,0.510731244
457,2,31,8,4,4,0.2497151,1.058119658,0.186277303,0.256695157,0.777492877,0.399620133
458,1,31,9,4,4,0.583048433,1.058119658,0.60294397,0.256695157,1.110826211,0.177397911
459,2,35,12,3,4,1.333048433,1.391452991,1.436277303,0.756695157,1.277492877,1.510731244
460,2,30,5,3,4,0.083048433,0.058119658,0.089055081,-0.076638177,0.110826211,0.177397911
461,2,36,10,3,4,0.4997151,0.724786325,0.811277303,1.09002849,0.610826211,0.844064577
462,1,35,5,3,4,0.916381766,0.724786325,1.116832858,-1.243304843,0.277492877,1.0662868
